YearMonth;Superbenzin;Dieselkraftstoff;Heizoel
2021-01;139.64;124.37;57.71
2020-01;142.57;131.87;66.34
2020-02;140.76;124.96;60.82
2020-03;134.35;118.05;54.65
2020-04;121.94;110.67;52.71
2020-05;119.71;105.75;49.01
2020-06;126.68;109.26;48.07
2020-07;129.33;109.5;45.95
2020-08;128.22;109.61;44.07
2020-09;127.94;106.34;41.02
2020-10;128.91;106.34;42.31
2020-11;124.17;106.1;42.96
2020-12;126.54;110.67;50.65
2019-01;135.74;124.25;66.87
2019-02;134.77;125.42;67.64
2019-03;137;127.06;67.99
2019-04;146.33;128.12;69.11
2019-05;153.16;131.16;70.52
2019-06;150.93;126.95;65.4
2019-07;148.84;126.48;66.87
2019-08;144.8;124.6;65.52
2019-09;142.57;126.13;67.87
2019-10;141.73;127.18;67.32
2019-11;141.59;126.83;66.17
2019-12;140.76;126.48;66.23
2018-01;136.84;120.48;62.27
2018-02;137.27;119.5;59.15
2018-03;134.15;118.03;59.87
2018-04;138.96;121.09;63.12
2018-05;145.62;127.21;67.93
2018-06;147.6;129.41;67.67
2018-07;147.45;128.92;67.15
2018-08;149.44;130.03;69.03
2018-09;153.26;134.56;75.73
2018-10;153.4;137.99;79.83
2018-11;156.79;145.09;84.51
2018-12;146.89;134.07;70.4
2017-12;136.84;119.01;60.65
